Id,SalePrice
1461,121715.4925
1462,165741.0631
1463,189510.4344
1464,202590.6764
1465,205044.2648
1466,176372.408
1467,183599.2162
1468,168420.3777
1469,183287.3423
1470,118244.2162
1471,184250.6868
1472,100272.6901
1473,97242.25199
1474,144467.0001
1475,115206.472
1476,373651.1082
1477,249376.5607
1478,287172.0926
1479,289653.2978
1480,538467.325
1481,320793.0856
1482,198451.2286
1483,182615.7666
1484,167116.8241
1485,191286.514
1486,196915.2832
1487,356350.3948
1488,225431.9848
1489,200658.5599
1490,243991.9467
1491,194454.7625
1492,83625.31022
1493,171348.5604
1494,288953.7111
1495,280692.7766
1496,225772.1015
1497,186546.4195
1498,254047.4642
1499,163598.5192
1500,156725.5278
1501,176244.8253
1502,153916.153
1503,284394.4766
1504,251475.9341
1505,230670.1293
1506,197204.9514
1507,263738.4644
1508,212845.1679
1509,160015.9404
1510,148692.3491
1511,227934.9012
1512,181594.9133
1513,150360.7713
1514,173797.9371
1515,210823.8552
1516,144642.418
1517,173743.1909
1518,127936.0427
1519,213026.491
1520,130370.4846
1521,137450.9649
1522,181419.6425
1523,114118.3692
1524,127815.2365
1525,120495.2788
1526,107893.4355
1527,115727.3161
1528,131482.0178
1529,158007.3294
1530,185387.7627
1531,104654.1284
1532,92799.47752
1533,151534.0208
1534,132700.972
1535,141934.5767
1536,103914.2003
1537,57371.67459
1538,129389.7968
1539,205547.0355
1540,80792.38441
1541,132366.1795
1542,142448.5918
1543,191285.8785
1544,90810.41908
1545,119575.1523
1546,141440.2054
1547,130353.897
1548,139301.9185
1549,129173.0827
1550,138620.4128
1551,102951.9416
1552,131331.179
1553,140553.8184
1554,121232.0748
1555,171304.8152
1556,88304.80539
1557,141256.0866
1558,106701.8918
1559,57808.37167
1560,126485.2545
1561,120111.6196
1562,134143.1052
1563,124150.6292
1564,161029.2353
1565,147392.0296
1566,240136.7681
1567,78449.17601
1568,245963.8753
1569,133669.3842
1570,133555.2361
1571,121513.5941
1572,135075.4343
1573,187016.7653
1574,118790.2381
1575,224515.1503
1576,260249.4678
1577,175629.5613
1578,143260.0427
1579,147488.2329
1580,199004.3757
1581,156596.7866
1582,125890.6118
1583,299113.3167
1584,224474.8856
1585,133466.5554
1586,103759.9382
1587,111911.8223
1588,140821.2993
1589,105348.4608
1590,130385.8952
1591,97026.58414
1592,120035.4608
1593,125283.714
1594,148772.2864
1595,111444.1944
1596,225474.0012
1597,199625.415
1598,236148.1404
1599,172475.0949
1600,167840.7993
1601,80831.31362
1602,127537.5028
1603,50451.04789
1604,232639.3482
1605,241277.8402
1606,173153.2277
1607,277610.311
1608,212285.8254
1609,187029.8322
1610,161081.7779
1611,139662.6501
1612,169149.8058
1613,171566.4952
1614,109155.3379
1615,90837.08271
1616,82000.41247
1617,92379.31004
1618,191600.8153
1619,140625.5332
1620,168133.9562
1621,142818.7591
1622,145620.7159
1623,262588.9903
1624,219536.367
1625,122101.2872
1626,167716.7778
1627,195724.4555
1628,269077.0335
1629,181021.0056
1630,369404.572
1631,221410.6073
1632,242137.1635
1633,175793.4603
1634,186078.0613
1635,176580.2032
1636,153046.2673
1637,219191.214
1638,194668.9157
1639,184258.9405
1640,254160.2729
1641,180539.5726
1642,247289.7983
1643,241061.082
1644,231567.0363
1645,228341.8757
1646,161712.7622
1647,156423.6043
1648,130696.1179
1649,140671.8363
1650,113848.5688
1651,125263.5482
1652,100091.9287
1653,103248.1129
1654,145287.0814
1655,129633.9077
1656,138241.9544
1657,150390.0911
1658,145181.1239
1659,124639.107
1660,160830.9072
1661,481489.7337
1662,425923.6795
1663,377169.5223
1664,555378.7517
1665,301189.7962
1666,322492.8167
1667,400722.8457
1668,301993.4948
1669,297703.6
1670,350719.9937
1671,279070.4087
1672,474221.7947
1673,300863.3794
1674,242524.7518
1675,191208.9863
1676,186229.9718
1677,211853.3005
1678,494392.1029
1679,394446.0361
1680,322773.9066
1681,236993.3994
1682,299986.4682
1683,182717.2729
1684,177667.5634
1685,173761.7079
1686,169100.7158
1687,171469.9573
1688,190222.7973
1689,193866.498
1690,196719.1879
1691,185257.1867
1692,251157.2332
1693,171736.4206
1694,186795.4336
1695,172549.7063
1696,302497.0182
1697,180775.7271
1698,348992.4276
1699,291470.4959
1700,250901.4771
1701,267601.5452
1702,235455.6776
1703,232076.3942
1704,265558.1013
1705,213365.3421
1706,391950.0356
1707,208635.3525
1708,207455.4115
1709,262222.6758
1710,216364.809
1711,264106.5075
1712,260130.7345
1713,294682.0478
1714,221978.0663
1715,214124.988
1716,183768.3468
1717,169298.5379
1718,141320.6506
1719,203878.197
1720,230266.1066
1721,161228.3765
1722,129235.443
1723,157531.9318
1724,204144.2768
1725,242470.7585
1726,184450.2664
1727,152071.2014
1728,168039.008
1729,166651.3586
1730,151044.4972
1731,125128.0517
1732,137169.8017
1733,113268.8125
1734,134612.8175
1735,124892.8122
1736,112621.3854
1737,337872.6222
1738,245819.4707
1739,235258.0757
1740,220551.2171
1741,190790.4497
1742,174666.659
1743,181629.4297
1744,365794.5703
1745,211129.9949
1746,196854.3517
1747,221583.9518
1748,228947.2483
1749,139740.4037
1750,118530.3986
1751,256970.179
1752,116938.2729
1753,151203.4813
1754,198915.8802
1755,170555.6593
1756,138062.629
1757,124781.6265
1758,144581.5211
1759,163191.0975
1760,161903.4187
1761,143895.3164
1762,180808.0294
1763,176886.1303
1764,117255.4379
1765,151039.6524
1766,212297.0799
1767,255902.7732
1768,136716.9763
1769,170240.7757
1770,154932.5806
1771,115602.2234
1772,127841.8464
1773,118545.2329
1774,149815.3134
1775,146622.3051
1776,132042.6661
1777,113834.5482
1778,143582.4155
1779,174259.3063
1780,159751.0304
1781,123036.4406
1782,95656.35709
1783,146519.7823
1784,107833.9391
1785,131126.305
1786,139463.5297
1787,149570.4066
1788,70179.893
1789,97263.77299
1790,83759.13506
1791,184793.7102
1792,166168.4409
1793,135299.848
1794,156179.5965
1795,133354.4424
1796,147795.3842
1797,111087.3228
1798,120261.5512
1799,112286.1077
1800,129128.0369
1801,128311.1863
1802,124233.304
1803,148122.8035
1804,141755.7228
1805,135131.1038
1806,130247.56
1807,128346.2406
1808,122038.3384
1809,122435.0156
1810,132679.5956
1811,86332.03449
1812,97694.7756
1813,122907.9425
1814,104130.6196
1815,64195.44509
1816,107966.2327
1817,103799.1571
1818,130262.9533
1819,140528.2481
1820,54940.27964
1821,102257.9931
1822,147431.1222
1823,35599.95202
1824,126055.4978
1825,142132.5521
1826,116003.8841
1827,106192.4324
1828,140348.9401
1829,122443.7153
1830,145490.2265
1831,142243.8837
1832,75668.32274
1833,144458.0645
1834,123441.9876
1835,113531.086
1836,121678.3019
1837,91383.71795
1838,124595.9948
1839,119181.3763
1840,144399.3984
1841,128861.287
1842,90496.57877
1843,132167.5037
1844,134387.239
1845,149616.0455
1846,164879.8154
1847,183859.4517
1848,62216.41145
1849,102257.1105
1850,115810.3631
1851,152997.6819
1852,113153.9165
1853,115738.8439
1854,163311.0233
1855,155970.3019
1856,221323.2755
1857,126545.0437
1858,147452.496
1859,127170.7899
1860,154291.9902
1861,126421.4603
1862,334191.0333
1863,308559.8149
1864,308638.3282
1865,319991.4233
1866,308814.7666
1867,220368.9058
1868,283915.3291
1869,199073.7688
1870,219441.5348
1871,223230.315
